Name,Link,Publisher,Score /5,Summary,created time,year,만들고 참여한 사람,상태,종류
귀를 기울이면,,지브리,⭐️⭐️⭐️⭐️,,2023년 9월 16일 오전 2:27,2023,곤도 요시후미,완주,Film
좀100,,,,,2023년 9월 16일 오전 2:32,2023,,진행중,TV Series
셀러브리티,,,,,2023년 9월 16일 오전 2:33,2023,,완주,TV Series
불안,,,,,2023년 9월 18일 오후 1:21,2023,린 울만,진행중,Book
어파이어,,,⭐️⭐️⭐️⭐️⭐️,,2023년 9월 18일 오후 11:51,2023,크리스티안 페촐트,완주,Film
석류의 빛깔,,,SUPERSUPER,,2023년 9월 24일 오후 7:44,2023,,완주,Film
착한 인류,,,,,2023년 9월 29일 오후 3:33,2023,프란스 드 발,완주,Book
라스트레터,,,⭐️⭐️⭐️⭐️,,2023년 10월 2일 오후 4:44,2023,이와이 슌지,완주,Film
메이킹 웨이브 : 영화 사운드의 예술,,,,,2023년 10월 19일 오후 11:43,2023,,진행중,Film
큐어,,,⭐️⭐️⭐️⭐️⭐️,,2023년 10월 31일 오후 6:36,2023,"구로사와 기요시, 야쿠쇼 코지",완주,Film
당신의 방에 아무나 들이지 마라,,,⭐️⭐️⭐️,,2023년 11월 1일 오후 10:59,2023,,진행중,Book
상처 떠나보내기,,,⭐️⭐️⭐️⭐️,,2023년 11월 29일 오전 12:50,2023,이승욱,완주,Book
핑크,,,⭐️⭐️⭐️⭐️⭐️,,2023년 12월 15일 오전 10:20,2023,오카자키 쿄고,완주,Graphic Book
천공의 성 라퓨타,,,⭐️⭐️⭐️⭐️⭐️,,2023년 12월 17일 오후 5:12,2023,"미야자키 하야오, 지브리 스튜디오",진행중,Film
헬터 스켈터,,,⭐️⭐️⭐️⭐️⭐️,,2023년 12월 17일 오후 5:13,2023,"안노 모요코, 오카자키 쿄고",완주,Graphic Book
빅 피쉬,,,⭐️⭐️⭐️⭐️,,2023년 12월 17일 오후 5:15,2023,팀 버튼,완주,Film
만화가 야식 연구소,,,⭐️⭐️⭐️⭐️⭐️,,2023년 12월 17일 오후 5:18,2023,무라타 유스케,완주,Graphic Book
오펜하이머,,,⭐️⭐️⭐️⭐️,,2023년 12월 18일 오후 9:40,2023,"크리스토퍼 놀란, 킬리언 머피",완주,Film
바비,,,⭐️⭐️⭐️⭐️,,2023년 12월 18일 오후 9:52,2023,,완주,Film
러브데스로봇,,,⭐️⭐️⭐️⭐️,,2023년 12월 18일 오후 10:35,2023,,,TV Series
팬텀스레드,,,⭐️⭐️⭐️⭐️⭐️,,2024년 1월 1일 오후 5:53,2023,,,Film
환기 미술관 <김환기의 뉴욕시대>,,,SUPERSUPER,,2024년 1월 1일 오후 10:14,2023,,,Exhibition
맡겨진 소녀,,,⭐️⭐️⭐️⭐️⭐️,,2024년 1월 7일 오후 11:59,2024,클레이 키건,완주,Book
리얼리티 트랜서핑,,,⭐️⭐️⭐️⭐️⭐️,,2024년 1월 8일 오전 12:01,2024,,완주,Book
유령집사,,,⭐️⭐️⭐️⭐️,,2024년 1월 11일 오후 5:16,2024,"김수빈, 김수완",완주,Graphic Book
몬스터,,,SUPERSUPER,,2024년 1월 22일 오전 12:45,2024,우라사와 나오키,완주,Graphic Book
산책,,,⭐️⭐️⭐️⭐️⭐️,,2024년 1월 23일 오후 6:02,2024,다니구치 지로,완주,Graphic Book
콘크리트 유토피아,,,⭐️⭐️⭐️,,2024년 1월 29일 오전 3:46,2024,,완주,Film
연기수업,,,⭐️⭐️⭐️⭐️⭐️,,2024년 2월 12일 오후 11:07,2024,,완주,Graphic Book
나의 산티아고,,,⭐️⭐️⭐️⭐️⭐️,,2024년 2월 26일 오후 6:44,2024,,완주,Film
안나,,,⭐️⭐️⭐️⭐️,,2024년 2월 26일 오후 6:44,2024,뤽 베송,완주,Film
위국일기(10까지 읽음),,,⭐️⭐️⭐️⭐️⭐️,,2024년 2월 26일 오후 6:45,2024,,진행중,Graphic Book
return to dust,,,SUPERSUPER,,2024년 2월 27일 오전 12:44,2024,,진행중,Film
시골의사 박경철 강의,https://youtu.be/U9UFEE7THbQ?si=gFHF7jNd2_ZFC5ed,,,,2024년 2월 28일 오후 2:15,2024,,완주,Youtube
니키타,,,,,2024년 3월 3일 오전 11:18,2024,뤽 베송,완주,Film
집주인 할머니와 나,,,,,2024년 3월 3일 오전 11:19,2024,,완주,Graphic Book
동경일일 1-3,,,,,2024년 3월 3일 오후 5:49,2024,마츠모토 타이요,진행중,Graphic Book
볼로냐 일러스트 원화전 57th,,,,,2024년 3월 3일 오후 5:56,2024,,완주,Exhibition
스킵과 로퍼(7까지 읽음),,,,,2024년 3월 13일 오전 10:17,2024,,,Graphic Book
송곳,,,,,2024년 3월 13일 오전 10:17,2024,,완주,Graphic Book
"기계장치의 사랑 1,2 ",,,,,2024년 3월 13일 오전 10:17,2024,,완주,Graphic Book
파묘,,,,,2024년 3월 13일 오전 10:23,2024,,완주,Film
멸망한 짐승들의 바다,,,,,2024년 3월 17일 오전 1:16,2024,,완주,Graphic Book
SI 그림책학교 졸업,,,,,2024년 3월 18일 오후 9:23,2024,,완주,Exhibition
콘텐츠 분석,,,,,2024년 3월 18일 오후 9:51,,,,
토베 얀손,,,,,2024년 3월 18일 오후 10:17,2024,,,Book
로봇 드림,,,,,2024년 3월 22일 오후 11:39,2024,,완주,Graphic Book
"철학자, 강아지, 결혼",,,⭐️⭐️⭐️⭐️,,2024년 3월 26일 오전 12:48,2024,,완주,Graphic Book
유령,,,⭐️⭐️⭐️⭐️,,2024년 3월 26일 오전 12:54,2024,크리스티안 페촐트,완주,Film
더 커뮤니티,,,,,2024년 4월 3일 오전 1:24,2024,,진행중,TV Series
악마의 일기,,,,,2024년 4월 3일 오전 2:10,2024,,완주,Graphic Book
그리고 또 그리고,,,⭐️⭐️⭐️⭐️⭐️,,2024년 5월 7일 오후 9:32,2024,,완주,Graphic Book
소년과 두더지와 여우와 말,,,SUPERSUPER,,2024년 5월 7일 오후 9:33,2024,,완주,Graphic Book
피지컬 100 2,,,,,2024년 5월 10일 오전 1:30,2024,,완주,TV Series
신 이야기,,,,,2024년 5월 10일 오전 1:30,2024,,,Graphic Book
스파,,,,,2024년 5월 20일 오후 4:39,2024,,완주,Graphic Book
브레이크다운스,,,,,2024년 5월 20일 오후 4:40,2024,아트 슈피겔만,완주,
아름다운 어둠,,,⭐️⭐️⭐️⭐️⭐️,,2024년 5월 20일 오후 5:13,2024,,완주,
돌의 부드러움,,,,,2024년 5월 20일 오후 10:20,2024,,,
더우면 벗으면 되지,,,SUPERSUPER,,2024년 5월 29일 오후 6:10,,,,
웨인 티보,,,,,2024년 6월 1일 오후 7:21,2024,,,
극락왕생,,,,,2024년 6월 1일 오후 7:23,2024,,진행중,
매드맥스 퓨리오사,,,SUPERSUPER,,2024년 6월 1일 오후 8:29,2024,"안야 테일러 조이, 조지 밀러",,Film
랑종,,,⭐️⭐️⭐️,,2024년 6월 10일 오후 6:25,2024,,,Film
호도,,,⭐️⭐️⭐️⭐️,,2024년 6월 13일 오후 5:49,2024,"마영신, 언경",,Graphic Book
"눈,물",,,⭐️⭐️⭐️⭐️⭐️,,2024년 6월 19일 오후 7:56,2024,,,Graphic Book
팔레스타인,,,⭐️⭐️⭐️,,2024년 6월 19일 오후 7:56,2024,,,Graphic Book
나츠코의 술,,,SUPERSUPER,"양주장 딸 나츠코, 시골을 벗어나 도쿄에서 카피라이터로 생활하던 중 술을 사랑하던 오빠가 암으로 죽는다. 그의 꿈이었던,, 최고의 쌀로 최고의 술을 짓겠다는 유지를 잇기로 결정하고 양주장으로 돌아온다. 화양양주, 화합으로 술을 이루기 위해.. ",2024년 6월 22일 오전 2:03,2024,아키라 오제,완주,Graphic Book
까대기,,,⭐️⭐️⭐️⭐️,,2024년 6월 25일 오후 4:19,2024,,,Graphic Book
그럼에도 여기에서,,,⭐️⭐️⭐️⭐️,,2024년 7월 3일 오후 6:29,2024,실키,,Graphic Book
소아라와 마물의 집,,,⭐️⭐️⭐️,,2024년 7월 3일 오후 6:30,2024,,진행중,Graphic Book
프렌치 수프,,,⭐️⭐️⭐️⭐️⭐️,,2024년 7월 8일 오후 3:28,2024,,,Film
토마토 나이프 그리고 입맞춤,,,⭐️⭐️⭐️⭐️,,2024년 7월 10일 오후 8:45,2024,안그람,완주,Graphic Book
